ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt
0.0483,0.0001,0.0023,0.0395,-0.6386,-0.3871,0.0148,0.0002,0.0002,0.0682,0.3306,0.1277,9.8152,0.0003,96.3377,0.0742,0.5939,-0.0267,0.0602,0.0033,0.0036,0.2595,-0.0901,-0.1604,0.0648,0.0042,0.0042,0.2901,0.0206,-0.7100,0.0570,0.0032,0.0032,0.2290,0.3156,-0.5639,0.0131,0.0535,-0.2532,0.1057,-0.1056,0.2082,320.1118,141.9879,102471.6016,46.0000,-0.1240,-1.0009
0.0461,0.0001,0.0021,0.0551,0.7044,0.6206,0.0173,0.0003,0.0003,0.0982,1.0858,2.3891,9.8170,0.0006,96.3738,0.1484,0.3273,1.1048,0.0453,0.0020,0.0021,0.2290,-0.2106,-0.4199,0.0733,0.0052,0.0054,0.3511,0.1570,0.0234,0.0597,0.0026,0.0036,0.2748,-0.1665,-0.4668,-0.2162,0.1004,-0.0870,-0.0257,-0.4347,-0.1106,319.6788,133.4391,102194.5234,52.0000,-0.2191,-0.7574
0.0439,0.0002,0.0019,0.0730,-1.0577,2.3862,0.0153,0.0002,0.0002,0.0682,0.9380,0.8139,9.8131,0.0006,96.2960,0.1089,0.6037,0.3047,0.0451,0.0017,0.0020,0.1832,-0.5745,-0.1331,0.0835,0.0065,0.0070,0.3969,0.5358,0.1672,0.0453,0.0021,0.0021,0.1985,0.4759,-0.2703,-0.2837,-0.0752,0.2519,0.1237,-0.2513,-0.0687,315.7190,128.7898,99678.5078,48.0000,0.0929,-0.7317
0.0431,0.0001,0.0019,0.0503,-0.1092,-0.7677,0.0121,0.0001,0.0001,0.0646,0.1763,0.2848,9.8166,0.0004,96.3654,0.0898,0.2449,0.0614,0.0485,0.0022,0.0024,0.2290,-0.4563,0.3552,0.0554,0.0029,0.0031,0.3053,0.0713,0.0394,0.0500,0.0025,0.0025,0.2290,0.0332,-0.4068,0.1193,-0.1031,-0.1604,0.0022,0.0680,0.1320,315.4652,148.3471,99518.2969,54.0000,0.1168,-0.7888
0.0421,0.0002,0.0018,0.0994,-1.2087,6.6224,0.0186,0.0003,0.0003,0.1401,-1.0521,5.7421,9.8106,0.0006,96.2471,0.1137,0.0599,-0.2654,0.0425,0.0015,0.0018,0.2137,-0.7365,1.3023,0.0692,0.0044,0.0048,0.3053,-0.0620,-0.3291,0.0458,0.0017,0.0021,0.2290,0.3456,0.1284,-0.4507,0.2925,-0.3430,-0.1184,-0.0832,0.0587,316.8647,151.8644,100403.2578,52.0000,-0.2069,-0.7318
0.0438,0.0002,0.0019,0.0898,0.3069,0.4222,0.0181,0.0003,0.0003,0.1712,0.3955,3.8957,9.8112,0.0004,96.2594,0.1030,0.2176,-0.5706,0.0417,0.0017,0.0017,0.2137,-0.1705,0.3148,0.0675,0.0046,0.0046,0.3053,0.0019,-0.3634,0.0551,0.0029,0.0030,0.2290,0.2394,-0.3972,-0.1787,0.0274,-0.1153,0.1708,-0.0278,-0.0431,317.4172,147.3608,100753.6875,52.0000,-0.2366,-0.8787
0.0414,0.0001,0.0017,0.0383,0.2457,-0.6504,0.0122,0.0001,0.0001,0.0479,-0.0413,-0.6424,9.8147,0.0003,96.3277,0.0970,0.5417,0.7302,0.0431,0.0015,0.0019,0.1374,-0.3131,-0.8273,0.0513,0.0024,0.0026,0.2290,-0.2632,-0.3069,0.0416,0.0015,0.0017,0.1985,-0.3003,0.4221,-0.1290,0.0515,0.0949,-0.0271,0.0482,0.0471,315.8641,138.3790,99770.1484,50.0000,0.0745,-0.8024
0.0492,0.0012,0.0024,0.3017,-2.2997,11.7533,0.0379,0.0014,0.0014,0.2670,-1.1007,5.3445,9.8027,0.0055,96.0930,0.4022,-2.8323,8.1834,0.0845,0.0065,0.0071,0.5038,1.8566,5.4940,0.1764,0.0311,0.0311,1.6031,1.4512,13.0370,0.1049,0.0087,0.0110,0.3969,-1.0411,0.5182,-0.1517,0.5349,0.0074,0.5441,-0.2919,-0.0048,314.9791,147.4400,99211.8516,51.0000,0.0516,-0.8896
0.0957,0.0066,0.0092,0.6309,-0.1604,6.0991,0.0899,0.0079,0.0081,0.4477,0.2588,0.3540,9.8499,0.0382,97.0212,1.5538,2.9926,13.3294,0.1825,0.0333,0.0333,1.2672,-0.5525,3.4253,0.5463,0.2983,0.2985,4.5344,-0.2415,7.7686,0.3689,0.1246,0.1361,1.8321,0.0975,0.7766,-0.2236,0.3817,-0.1128,0.8385,-0.0927,0.1027,314.4237,143.7670,98862.2656,48.0000,0.0848,-0.9968
0.0455,0.0006,0.0021,0.1448,-1.5471,4.3663,0.0337,0.0011,0.0011,0.1700,-0.0274,-0.5662,9.8076,0.0027,96.1883,0.2945,-1.3510,4.0187,0.0754,0.0053,0.0057,0.3053,0.3229,0.0601,0.1541,0.0230,0.0237,0.7634,1.2530,2.5331,0.1037,0.0101,0.0108,0.4733,1.7467,4.0254,-0.1285,0.5733,-0.0330,0.5496,-0.2529,0.2629,316.2270,146.6850,99999.5234,48.0000,-0.0097,-0.9182
0.0422,0.0001,0.0018,0.0563,-0.0847,-0.1284,0.0139,0.0002,0.0002,0.0910,1.5955,6.1286,9.8213,0.0003,96.4575,0.0742,0.0872,-0.4916,0.0486,0.0023,0.0024,0.2595,-0.2488,-0.3587,0.0538,0.0026,0.0029,0.2748,-0.0901,-0.3663,0.0552,0.0030,0.0030,0.2290,0.6319,-0.1493,-0.1792,0.0725,0.0557,-0.0045,-0.1276,-0.3119,317.9197,168.2160,101072.9141,52.0000,-0.2417,-0.9850
0.0452,0.0005,0.0020,0.1413,-0.3926,1.6034,0.0220,0.0005,0.0005,0.1413,-0.1011,0.9395,9.8182,0.0017,96.3972,0.4453,-0.6723,7.1923,0.0650,0.0038,0.0042,0.4122,-0.0898,1.0854,0.1377,0.0189,0.0190,1.4504,0.5542,13.8102,0.0903,0.0076,0.0082,0.4275,-0.8777,1.5387,-0.1157,0.6095,-0.1806,0.2913,-0.0999,0.3579,316.0095,163.9175,99861.9766,53.0000,-0.0154,-0.9275
0.0576,0.0017,0.0033,0.2741,0.8654,3.7698,0.0240,0.0005,0.0006,0.1317,-0.3951,0.8738,9.8227,0.0158,96.4857,0.9254,1.1480,6.5516,0.1200,0.0141,0.0144,0.9160,0.6736,5.6525,0.3384,0.1129,0.1145,2.6260,0.6830,7.0485,0.0964,0.0091,0.0093,0.4580,0.5067,0.0407,-0.1409,0.6258,-0.0504,0.8622,-0.1230,0.0789,316.9800,139.4324,100476.3281,52.0000,-0.1189,-0.6815
0.0417,0.0005,0.0017,0.1257,-0.0199,0.0202,0.0232,0.0005,0.0005,0.1269,-1.1282,2.6834,9.8085,0.0026,96.2065,0.2658,-0.0956,0.4528,0.0750,0.0050,0.0056,0.4733,0.4736,3.7454,0.1174,0.0137,0.0138,0.9924,0.8027,8.7412,0.0658,0.0041,0.0043,0.3053,-0.2269,-0.2871,-0.1626,0.5077,-0.1340,0.5871,0.0714,-0.1823,317.3664,149.9731,100721.4063,53.0000,-0.1313,-0.7733
0.0376,0.0002,0.0014,0.0611,-0.9316,0.9043,0.0112,0.0001,0.0001,0.0479,-0.2990,-0.3410,9.8175,0.0006,96.3840,0.1712,0.8490,4.1252,0.0536,0.0028,0.0029,0.3053,-0.4422,0.7772,0.0608,0.0036,0.0037,0.3664,0.6828,1.2990,0.0493,0.0024,0.0024,0.2595,-0.2834,0.3084,0.2124,0.2316,0.2445,-0.0773,0.2282,-0.1134,316.7202,136.2300,100311.6484,53.0000,0.1533,-0.7250
0.0415,0.0001,0.0017,0.0682,-0.4749,0.4461,0.0104,0.0001,0.0001,0.0599,0.0116,-0.1665,9.8176,0.0005,96.3850,0.1281,-0.1523,0.6037,0.0511,0.0026,0.0026,0.2137,-0.4810,-0.3802,0.0551,0.0027,0.0030,0.2443,0.2361,-0.1958,0.0600,0.0036,0.0036,0.3359,-0.3093,1.8844,0.3052,0.2789,-0.0243,-0.3575,-0.0296,-0.0483,315.7892,151.0075,99722.8125,53.0000,0.0981,-0.8079
0.0556,0.0015,0.0031,0.2849,1.6840,10.0955,0.0382,0.0015,0.0015,0.2274,0.9395,3.9529,9.8236,0.0044,96.5034,0.4525,3.2493,13.6061,0.0791,0.0062,0.0062,0.4427,-2.3562,8.2801,0.1700,0.0279,0.0289,0.9618,-3.1084,11.1329,0.1269,0.0141,0.0161,0.4885,1.8053,2.2571,-0.6938,0.2051,0.3148,0.6844,-0.2266,-0.5400,316.7561,159.0100,100334.4219,49.0000,-0.0503,-0.9096
