ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt
0.1009,0.0101,0.0102,0.7877,3.0578,14.1443,0.3856,0.0436,0.1487,1.3072,0.6900,1.0251,9.8425,0.0443,96.8757,1.5036,1.5453,5.4599,8.1628,61.8806,66.6310,49.2214,-3.4258,11.4221,1.9297,3.6623,3.7236,10.8702,3.0890,10.2631,3.1736,10.0088,10.0718,31.1756,4.8429,34.8876,0.7773,-0.4495,-0.6758,-0.9330,0.4058,-0.4219,34597.2461,629550592.0000,1196969344.0000,57142.0000,0.3081,-1.7456
0.0314,0.0002,0.0010,0.0910,-0.0997,0.1149,0.3791,0.0002,0.1437,0.0850,-0.3488,-0.2195,9.8073,0.0005,96.1832,0.1341,-0.0024,0.1521,0.4462,0.1991,0.1991,2.6412,-0.1728,0.1848,0.2322,0.0537,0.0539,0.9618,0.2470,-0.7305,0.1147,0.0131,0.0132,0.5649,-0.3670,0.1770,0.4108,-0.4820,-0.5420,-0.7082,0.8495,-0.6502,46019.3789,565318016.0000,2117783168.0000,57142.0000,-0.9170,-1.0519
0.0286,0.0002,0.0008,0.0646,-0.5614,1.0313,0.3731,0.0002,0.1392,0.0646,0.0324,-0.0111,9.8084,0.0005,96.2044,0.1245,-0.0444,-0.4332,0.4557,0.2072,0.2077,1.9237,-0.1167,-0.7687,0.1548,0.0236,0.0240,0.6565,-0.2532,-0.5982,0.1074,0.0115,0.0115,0.4427,0.5380,-0.5447,0.4224,-0.2713,-0.4179,-0.6488,0.8374,-0.5578,53996.9141,819054.4375,2915666688.0000,2960.0000,-1.1434,-0.2187
0.0867,0.0073,0.0075,0.4860,-0.3995,2.4051,0.3605,0.0352,0.1299,1.1516,-0.0005,3.4924,9.8485,0.0813,96.9921,1.7214,0.8076,2.6699,14.1136,199.0236,199.1945,82.4580,-1.2090,5.2060,2.8440,8.0869,8.0882,16.0763,1.3459,5.2723,1.8339,3.3547,3.3631,11.2366,-1.5008,6.4232,0.8734,-0.9069,-0.7370,-0.9815,0.9862,-0.9648,53280.1484,1051724.5000,2838774016.0000,4527.0000,0.0634,-0.9351
0.0172,0.0001,0.0003,0.0503,-0.4513,0.2903,0.3544,0.0002,0.1256,0.0575,-0.1656,-0.7415,9.8154,0.0005,96.3431,0.0958,0.2654,-0.3881,0.3478,0.1163,0.1210,1.4198,0.2763,-0.5605,0.1308,0.0170,0.0171,0.5802,-0.0306,-0.8156,0.0801,0.0063,0.0064,0.3206,0.1117,-0.9448,-0.0700,0.0711,-0.3157,-0.7253,0.7290,-0.6998,52789.1055,17159.9219,2786689792.0000,395.0000,-0.1309,-1.5875
0.0159,0.0001,0.0003,0.0682,0.9633,1.7465,0.3440,0.0001,0.1183,0.0622,0.2214,0.5313,9.8163,0.0004,96.3605,0.1006,-0.2294,-0.4241,0.2992,0.0878,0.0895,1.2519,-0.1771,-0.3968,0.1004,0.0098,0.0101,0.4275,0.1490,-0.7752,0.0606,0.0037,0.0037,0.2901,0.1902,-0.5737,0.2582,0.0513,-0.2757,-0.5049,0.5853,-0.2930,52692.5313,18580.6797,2776502784.0000,433.0000,0.8966,-0.8124
0.0132,0.0001,0.0002,0.0515,-0.2391,0.1884,0.3429,0.0003,0.1176,0.0599,0.0257,-0.9640,9.8106,0.0003,96.2478,0.0898,-0.0085,0.1909,0.4181,0.1742,0.1748,1.9847,0.7108,0.9348,0.1144,0.0127,0.0131,0.5038,-0.3348,-0.1842,0.0696,0.0048,0.0049,0.2901,-0.0181,-0.6544,0.1227,-0.1001,-0.2942,-0.7096,0.6886,-0.5638,52576.5586,356.5770,2764294400.0000,77.0000,0.4006,-0.7002
0.0172,0.0003,0.0003,0.0826,0.3280,-0.0421,0.3158,0.0004,0.0998,0.0934,-0.1635,-0.3090,9.8120,0.0013,96.2744,0.1616,-0.1134,-0.7962,0.6268,0.3900,0.3929,2.5649,-0.3172,-0.8050,0.1544,0.0238,0.0238,0.8092,0.0177,-0.5534,0.0896,0.0080,0.0080,0.4580,-0.2984,0.2319,0.5032,-0.4459,-0.7179,-0.7579,0.6988,-0.7076,52469.8750,16653.4531,2753087744.0000,424.0000,-0.7384,-0.8373
0.0153,0.0002,0.0002,0.0563,0.3101,-0.3535,0.3224,0.0002,0.1039,0.0622,-0.0096,-0.5414,9.8084,0.0005,96.2042,0.1041,0.0174,-0.3539,0.4746,0.2236,0.2252,2.1069,-0.3390,-0.7205,0.1116,0.0122,0.0125,0.6412,0.8348,1.0493,0.0969,0.0093,0.0094,0.4427,-0.3971,-0.1138,0.2199,-0.0125,-0.1855,-0.6795,0.6757,-0.6293,52296.1133,1202.9700,2734883328.0000,140.0000,0.0075,-0.3106
0.0197,0.0003,0.0004,0.0922,-0.1227,0.8045,0.3412,0.0007,0.1164,0.1137,-0.0431,-0.4918,9.8144,0.0011,96.3228,0.2167,1.0006,4.9192,0.9062,0.8206,0.8212,3.3893,-0.8778,-0.0281,0.2551,0.0650,0.0651,1.1298,-0.2084,-0.3763,0.1821,0.0331,0.0332,0.9008,-0.5454,0.6230,0.5981,-0.2999,-0.6082,-0.5082,0.8899,-0.6167,52286.9805,4557.7207,2733928192.0000,434.0000,0.5038,2.6458
0.0133,0.0001,0.0002,0.0539,0.4138,0.3297,0.3346,0.0002,0.1120,0.0682,0.1628,-0.6728,9.8113,0.0005,96.2612,0.0994,0.0285,-0.4475,0.4470,0.1990,0.1998,2.1985,0.3161,-0.4533,0.1526,0.0228,0.0233,0.6412,-0.3374,-0.4325,0.0804,0.0064,0.0065,0.3359,-0.0202,-0.7340,0.1913,-0.0987,-0.3671,-0.7266,0.7373,-0.7263,52292.3828,2059.8618,2734493440.0000,179.0000,-0.5966,-0.4665
0.0258,0.0005,0.0007,0.1951,1.1207,4.8753,0.3550,0.0004,0.1260,0.1257,-0.2329,0.7970,9.8062,0.0018,96.1610,0.5435,2.2501,25.6124,0.7256,0.4961,0.5265,3.6336,0.9775,1.1155,0.1986,0.0383,0.0394,0.8550,-0.1115,-0.7055,0.1609,0.0252,0.0259,0.7328,0.9382,0.5773,-0.1768,0.1648,-0.5912,-0.5070,0.9048,-0.5903,52286.4492,15111.2520,2733872896.0000,1178.0000,3.5947,22.7157
