subject_id,session_id,date,time,timestamp,session_duration,window_sequence_num,experiment_condition,ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ax_mean,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,ay_mean,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,az_mean,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gx_mean,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gy_mean,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,gz_mean,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt,ppg_mean,ppg_B0_frac,ppg_B1_frac,ppg_B2_frac,acc_L_frac,acc_M_frac,gyro_L_frac,gyro_M_frac,awake
S02,SES03,2025-11-12,16:07:39,1762988859.704847,59.7849006652832,10,normal,0.451752,0.018397,0.204080,0.715866,0.520267,0.087666,0.430910,1.595126,0.082423,2.544427,1.643619,0.510213,1.383466,-1.569077,9.886893,0.004463,97.750656,0.438139,0.497024,2.122942,9.886667,11.117944,8.318863,123.608673,15.221374,-0.670442,1.146035,-10.737309,4.390092,19.223070,19.272909,26.274809,1.483014,4.515193,-0.223244,6.792657,13.775600,46.140190,23.816795,-0.070693,3.366434,5.688989,0.820350,0.199754,0.467845,-0.844520,-0.875108,0.816404,64522.062500,32756.916016,4163096320.000000,829.000000,-0.575728,-0.277068,64521.808594,0.293588,0.519611,0.115687,0.235282,0.572512,0.847601,0.150579,1
S02,SES03,2025-11-12,16:07:44,1762988864.8453066,64.9253602027893,11,normal,0.371330,0.003716,0.137886,0.396240,-1.165514,3.533849,0.366292,2.043053,0.009007,4.174065,0.624887,-0.081293,2.570412,-2.040848,9.848212,0.002331,96.987282,0.262165,0.049452,-0.198075,9.848094,9.683215,1.229060,93.764648,5.801527,0.348500,1.043711,-9.619542,1.336765,1.064895,1.786941,7.465649,-0.573607,3.652828,-0.849733,5.126858,0.570678,26.284674,4.427481,-0.079333,1.256447,5.070897,0.514179,-0.294087,0.105074,-0.473494,-0.601427,0.463123,64282.679687,95645.414063,4132262912.000000,1077.000000,-0.062676,-1.275489,64281.933594,0.700603,0.136210,0.099220,0.164483,0.597626,0.432910,0.525581,1
S02,SES03,2025-11-12,16:07:49,1762988869.9861805,70.06623411178589,12,normal,0.254421,0.001517,0.064730,0.199916,-0.046317,0.113443,0.251423,1.988816,0.002431,3.955389,0.362722,-0.800157,1.138904,-1.988205,9.840050,0.001448,96.826576,0.268150,0.919443,3.622274,9.839976,9.893655,0.475785,97.884399,4.229008,0.549350,1.369536,-9.869580,0.938496,0.351990,0.880774,3.679389,0.080705,1.566713,-0.727176,5.032595,0.339987,25.327011,3.816794,0.888864,2.864113,4.998702,0.564963,-0.224622,0.113837,-0.426590,-0.105473,0.568930,64019.742187,45095.062500,4098527488.000000,936.000000,-0.079233,-0.729160,64019.390625,0.603313,0.159107,0.160672,0.161115,0.596959,0.414069,0.467039,1
S02,SES03,2025-11-12,16:07:55,1762988875.127854,75.20790791511536,13,normal,0.271616,0.023356,0.073775,0.949301,0.050992,0.990123,0.224542,1.957108,0.042461,3.830272,1.204283,1.571705,3.412298,-1.946230,9.848266,0.019692,96.988342,1.023520,0.420156,2.546670,9.847266,10.542489,12.234968,111.144066,24.702290,1.317998,5.019598,-9.945306,3.412434,11.191114,11.644707,21.862595,-0.425695,2.438952,-0.673492,5.525558,7.514871,30.531794,18.045801,-0.376453,2.424612,4.797596,0.460846,-0.209846,-0.109982,-0.447503,-0.169396,0.507700,63880.320312,74431.984375,4080695552.000000,1116.000000,-0.366778,-0.981048,63879.738281,0.698481,0.056777,0.148490,0.296692,0.708474,0.801401,0.156246,1
S02,SES03,2025-11-12,16:08:00,1762988880.2694676,80.34952116012573,14,normal,0.320388,0.016323,0.102648,0.811634,-0.853467,3.462301,0.293812,2.006766,0.050125,4.027111,1.508347,-0.389213,5.200366,-1.994238,9.858183,0.010681,97.183762,0.942118,1.318164,7.762833,9.857640,10.352970,8.555966,107.183983,17.740458,-1.682236,5.576004,-9.931164,3.013075,8.294821,9.078620,17.938931,0.473246,3.549923,-0.885324,6.209264,9.166974,38.554958,19.450382,1.943897,6.306482,5.421069,0.355337,0.098446,0.316378,-0.628791,-0.827058,0.833152,63741.820312,53131.691406,4063019520.000000,960.000000,0.216878,-0.976994,63741.402344,0.391678,0.394892,0.130852,0.226901,0.590775,0.749807,0.294112,1
S02,SES03,2025-11-12,16:08:05,1762988885.421605,85.50165843963623,15,normal,0.435678,0.056617,0.189815,1.403002,0.333321,0.443561,0.364963,2.060698,0.055981,4.246474,1.112107,0.220890,-0.406121,-2.047069,9.851594,0.012865,97.053909,0.895432,1.286538,5.380979,9.850942,10.136350,10.445924,102.745583,24.534351,-0.740544,4.554429,-9.607271,4.068616,15.307813,16.553635,25.282444,-1.245221,3.848343,-1.116164,6.066832,11.529739,36.806454,20.534351,-0.244092,1.292943,5.027596,0.451483,0.119843,0.203323,-0.471238,-0.707216,0.475869,63603.789062,14801.275391,4045442048.000000,557.000000,-0.103167,-0.600253,63603.671875,0.167579,0.257110,0.314986,0.196035,0.659922,0.476034,0.516409,1
S02,SES03,2025-11-12,16:08:10,1762988890.5611947,90.64124822616577,16,normal,0.360804,0.003413,0.130179,0.434548,0.453819,2.210667,0.356043,2.127180,0.007842,4.524894,0.488417,1.082835,1.744734,-2.125336,9.843837,0.002303,96.901123,0.296882,0.132885,0.508506,9.843719,10.333925,2.406350,106.790009,8.610687,0.085423,1.361194,-10.216832,1.235066,0.990926,1.525388,4.854962,0.470680,0.675567,-0.731069,5.515921,1.109777,30.425388,4.778626,1.514766,2.123848,5.414389,0.699600,-0.101636,0.266721,-0.186555,-0.443026,0.022865,63681.570312,26962.615234,4055342336.000000,725.000000,0.196223,-0.556774,63681.359375,0.366986,0.257640,0.237229,0.309833,0.524386,0.915265,0.066707,1
S02,SES03,2025-11-12,16:08:15,1762988895.703033,95.7830867767334,17,normal,0.440071,0.045763,0.193663,1.532289,-0.999630,4.135981,0.384578,2.153394,0.088097,4.637105,1.959654,-0.028547,2.059986,-2.132840,9.834182,0.026517,96.711136,1.800440,-2.475598,20.042694,9.832833,10.312179,9.279417,106.341019,13.603052,-0.084149,-0.117089,-9.851985,4.146800,16.062214,17.195951,28.809162,-0.512379,3.633811,-1.064771,5.776462,8.504921,33.367516,21.190840,0.354069,3.224061,4.986240,0.346636,0.236778,0.553437,-0.746623,-0.248879,0.487621,63730.781250,18886.267578,4061612288.000000,576.000000,0.146725,-0.721747,63730.632812,0.245621,0.081868,0.419013,0.157674,0.676439,0.339041,0.699381,1
S02,SES03,2025-11-12,16:08:20,1762988900.8443131,100.92436671257019,18,normal,0.331012,0.004736,0.109569,0.452504,1.195620,4.007913,0.323780,2.214139,0.009785,4.902411,0.658406,1.676051,6.230392,-2.211928,9.821565,0.002536,96.463135,0.357933,-0.078142,2.739701,9.821436,9.925147,1.944176,98.508553,9.832062,0.349440,3.860295,-9.826717,1.185884,1.010791,1.406322,6.641221,0.136383,2.124838,-0.628912,5.118985,1.026592,26.204004,7.725191,0.848590,4.040950,5.017710,0.519160,-0.418420,0.082359,-0.597199,-0.764236,0.442795,63534.320312,16125.721680,4036610048.000000,574.000000,-0.303215,-0.389619,63534.195312,0.224633,0.182646,0.358323,0.233020,0.545120,0.753886,0.193030,1
S02,SES03,2025-11-12,16:08:25,1762988905.9449766,106.0250301361084,19,normal,0.293595,0.031815,0.086198,1.222240,0.513891,2.060024,0.233201,2.689843,0.063396,7.235256,1.159991,0.933187,0.132616,-2.678033,9.733278,0.022891,94.736702,1.028309,0.244947,2.492404,9.732102,10.407930,14.955202,108.325012,21.480915,1.349113,2.686277,-9.662806,2.775406,6.873356,7.702881,17.404579,0.363845,1.659763,-0.910782,5.229253,4.824265,27.345087,14.244274,-0.543390,2.022413,4.745611,0.418396,0.325976,0.576991,-0.349529,-0.261321,0.466163,63654.078125,41003.289062,4051841792.000000,970.000000,0.530103,0.063903,63653.757812,0.279677,0.154158,0.338465,0.251730,0.554748,0.842340,0.146753,1
S02,SES03,2025-11-12,16:08:31,1762988911.095162,111.17521548271179,20,normal,0.735806,0.001934,0.541410,0.248997,-0.245991,-0.404842,-0.734490,1.788004,0.003896,3.196957,0.308852,-0.106448,-0.684099,-1.786914,9.685417,0.001334,93.807297,0.186748,0.287996,0.317505,9.685348,10.082394,0.786751,101.654655,5.236641,-1.360403,2.847316,-10.043302,0.944581,0.497614,0.892233,3.664122,0.892837,1.347171,-0.628187,5.037108,0.324149,25.372456,3.618321,0.086490,1.200303,5.004828,0.334184,-0.385994,0.044992,-0.397266,-0.515684,0.649766,63982.371094,20728.556641,4093743872.000000,673.000000,0.853175,0.342611,63982.210937,0.444829,0.135746,0.243351,0.122341,0.620809,0.517282,0.453274,1
S02,SES03,2025-11-12,16:08:36,1762988916.1961014,116.27615475654602,21,normal,1.213622,0.012681,1.472879,0.577003,-0.195752,0.091657,-1.208387,1.131543,0.005562,1.280391,0.381875,-0.160905,0.299964,-1.129083,9.582107,0.003902,91.816772,0.304064,-0.345151,-0.086917,9.581903,9.955017,1.367638,99.102371,7.221374,0.668187,2.431851,-9.886087,1.531903,0.771798,2.346727,4.564886,-0.522691,0.346897,-1.254962,4.983030,0.736166,24.830587,4.748092,-0.697133,1.206130,4.908607,0.690308,-0.341470,-0.415817,-0.497405,-0.561069,0.741462,64090.042969,71757.453125,4107533824.000000,1186.000000,0.944304,0.067711,64089.484375,0.121367,0.174584,0.416968,0.166395,0.635020,0.609703,0.333430,1
S02,SES03,2025-11-12,16:08:41,1762988921.3376045,121.41765809059143,22,normal,1.344277,0.034699,1.807080,1.793257,0.220497,10.138612,-1.331308,1.278910,0.020357,1.635610,0.922965,0.058656,2.638292,-1.270926,9.542456,0.055870,91.058456,2.692279,-5.117846,39.305035,9.539528,10.125138,3.334702,102.518433,16.916031,0.601759,5.833438,-9.959103,2.058505,3.826206,4.237444,17.908398,-1.123046,9.618276,-0.641279,5.282388,3.836920,27.903622,19.847328,0.091209,11.685481,4.905782,0.542366,0.517620,0.126262,-0.578070,-0.357556,0.588780,64248.609375,70941.820313,4127883776.000000,1186.000000,0.100964,-0.532642,64248.058594,0.781601,0.105369,0.064349,0.066303,0.761831,0.179346,0.645195,1
